trade_number,timestamp,balance,profit_pct,cumulative_return,drawdown,symbol,regime
1,2026-05-18T04:59:59.999000+00:00,1016.5104239541066,1.6510423954106666,1.6510423954106512,0.0,ATOMUSDT,SIDEWAYS
2,2026-05-18T08:59:59.999000+00:00,1015.0215543524082,-0.1464686998394836,1.502155435240815,-0.14646869983948596,TRXUSDT,SIDEWAYS
3,2026-05-18T13:14:59.999000+00:00,1018.6853042478007,0.3609529156974393,1.8685304247800572,0.0,TRXUSDT,SIDEWAYS
4,2026-05-18T14:59:59.999000+00:00,1016.687882082609,-0.196078431372543,1.6687882082609073,-0.19607843137253722,TRXUSDT,SIDEWAYS
5,2026-05-18T17:59:59.999000+00:00,1030.7527342062815,1.3833992094861671,3.075273420628144,0.0,ATOMUSDT,SIDEWAYS
6,2026-05-19T02:14:59.999000+00:00,1025.138768367442,-0.544647193505869,2.5138768367442,-0.544647193505865,ATOMUSDT,SIDEWAYS
7,2026-05-19T03:44:59.999000+00:00,1045.6415437347907,3.65644585593434,4.564154373479079,0.0,INJUSDT,SIDEWAYS
8,2026-05-19T10:44:59.999000+00:00,1036.5522020164885,-0.8692598120993998,3.6552202016488566,-0.8692598120993877,NEARUSDT,SIDEWAYS
9,2026-05-19T11:44:59.999000+00:00,1030.740966664652,-0.56063122923588,3.074096666465187,-1.4250176993654384,ATOMUSDT,SIDEWAYS
10,2026-05-22T02:14:59.999000+00:00,1033.1608304201743,0.2347693391243193,3.316083042017426,-1.1935938648763078,TRXUSDT,SIDEWAYS
11,2026-05-22T02:59:59.999000+00:00,1031.7265020998145,-0.13882914238786548,3.1726502099814535,-1.330765951137991,TRXUSDT,SIDEWAYS
12,2026-05-25T08:59:59.999000+00:00,1034.4209349838795,0.2611576690703474,3.4420934983879548,-1.0730836794064058,TRXUSDT,SIDEWAYS
13,2026-05-25T09:59:59.999000+00:00,1055.1093536835574,2.129063212186638,5.5109353683557405,0.0,NEARUSDT,SIDEWAYS
14,2026-05-25T16:59:59.999000+00:00,1063.0382266254162,0.7514740452425898,6.303822662541614,0.0,TRXUSDT,SIDEWAYS
